trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.95}",25,0,-124.38546516840943,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.8999999999999999}",20,0,-188.7812376079018,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.4, 'e': 0.8499999999999999}",25,0,-106.05648384035867,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.7999999999999998}",25,0,-125.08071470471558,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.7499999999999998}",25,0,-101.1138380690528,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.6999999999999997}",25,0,-83.66170323037096,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.4, 'e': 0.6499999999999997}",20,0,-62.25888734044996,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.5999999999999996}",25,1,-79.49735029851645,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 1}",1
9,False,"{'a': 0.4, 'e': 0.5499999999999996}",25,12,-48.55595061658757,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 0}",1
10,False,"{'a': 0.4, 'e': 0.4999999999999996}",20,0,-35.9162719224122,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.4, 'e': 0.4499999999999996}",20,0,-39.71293176645273,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.39999999999999963}",25,2,11.2220677999229,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.4, 'e': 0.34999999999999964}",25,2,-47.44914551026867,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.29999999999999966}",25,3,-10.426280768162936,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.4, 'e': 0.24999999999999967}",35,26,6.382749342574347,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.4, 'e': 0.19999999999999968}",20,0,-72.45967108800046,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",1
17,False,"{'a': 0.4, 'e': 0.1499999999999997}",20,12,-28.439921018222318,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.4, 'e': 0.09999999999999969}",20,0,12.922058969006397,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.049999999999999684}",20,0,30.57702918179192,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.4, 'e': -3.191891195797325e-16}",25,0,15.060695357497334,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,3,-25.442481566415953,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,10,-23.72656675602054,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,11,16.661368051835762,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,6,8.565824500665027,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,-22.361482497716814,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,18,8.865740189340967,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,-20.097104116936823,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,12,26.67779615699604,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,17,3.230383919829786,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,1.3880796377803881,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
