trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",20,0,-151.87034104639127,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.9999980000006666}",25,0,-78.36694434403717,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.9999920000106667}",20,0,-65.3698299791063,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.4, 'e': 0.999982000054}",20,0,-135.99689996509164,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.4, 'e': 0.9999680001706663}",35,19,-22.008763888701196,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.4, 'e': 0.9999500004166653}",20,0,-156.91431941184496,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 4}",0
7,False,"{'a': 0.4, 'e': 0.9999280008639958}",25,0,-117.49548642886325,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9999020016006562}",20,0,-72.60120359945634,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.4, 'e': 0.9998720027306434}",30,13,-102.52331901599888,"{0: 7, 1: 3, 2: 6, 3: 0, 4: 1}",1
10,False,"{'a': 0.4, 'e': 0.9998380043739528}",25,0,-94.1460285222462,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.4, 'e': 0.9998000066665778}",25,0,-40.344757611724596,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.9997580097605092}",25,0,-158.26853434853552,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.4, 'e': 0.9997120138237345}",30,0,-168.73911429901392,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.4, 'e': 0.9996620190402377}",25,0,-298.66835400026207,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 6}",0
15,False,"{'a': 0.4, 'e': 0.9996080256099974}",20,0,-91.33157859722337,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.9995500337489875}",25,16,5.387534497091957,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.4, 'e': 0.9994880436891754}",30,1,-174.76461317576488,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 2}",1
18,False,"{'a': 0.4, 'e': 0.9994220556785212}",25,0,-70.69857956842539,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.9993520699809768}",20,0,-98.4946413065729,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.9992780868764849}",25,0,-97.79375858356266,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
21,False,"{'a': 0.4, 'e': 0.9992001066609779}",20,0,-34.95418700146065,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.4, 'e': 0.9991181296463766}",35,0,-269.5640349762376,"{0: 16, 1: 6, 2: 6, 3: 4, 4: 3}",0
23,False,"{'a': 0.4, 'e': 0.9990321561605888}",20,1,-68.89112882856885,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 0}",1
24,False,"{'a': 0.4, 'e': 0.9989421865475084}",30,0,-113.90200600764268,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
25,False,"{'a': 0.4, 'e': 0.9988482211670138}",20,0,-152.2784927799775,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.4, 'e': 0.9987502603949663}",25,0,-150.40923030631575,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.4, 'e': 0.9986483046232089}",20,0,-128.752353289358,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.4, 'e': 0.9985423542595644}",25,0,-206.1439287815362,"{0: 8, 1: 3, 2: 12, 3: 0, 4: 2}",0
29,False,"{'a': 0.4, 'e': 0.9984324097278344}",30,0,-106.58919454577631,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
30,False,"{'a': 0.4, 'e': 0.9983184714677966}",25,0,-46.828306493480376,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.9982005399352042}",25,0,-115.05766211629143,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
32,False,"{'a': 0.4, 'e': 0.9980786156017829}",25,0,-101.44619168798425,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
33,False,"{'a': 0.4, 'e': 0.99795269895523}",25,0,-83.5802600133049,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
34,False,"{'a': 0.4, 'e': 0.9978227904992117}",25,0,-192.4410850921483,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
35,False,"{'a': 0.4, 'e': 0.9976888907533621}",20,0,-118.77351468974646,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
36,False,"{'a': 0.4, 'e': 0.9975510002532796}",25,7,-76.54913101483312,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
37,False,"{'a': 0.4, 'e': 0.9974091195505261}",20,0,-166.28217130328622,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
38,False,"{'a': 0.4, 'e': 0.9972632492126244}",20,0,-93.09351877167876,"{0: 10, 1: 7, 2: 1, 3: 1, 4: 1}",0
39,False,"{'a': 0.4, 'e': 0.9971133898230555}",25,0,-149.06610789397857,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
40,False,"{'a': 0.4, 'e': 0.9969595419812568}",25,0,-210.76283341292256,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
41,False,"{'a': 0.4, 'e': 0.9968017063026194}",25,0,-154.3376246401484,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
42,False,"{'a': 0.4, 'e': 0.9966398834184859}",20,0,-94.94005803716882,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.9964740739761475}",25,10,-39.588160015255006,"{0: 9, 1: 4, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.4, 'e': 0.996304278638842}",20,0,-89.9945212287251,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.9961304980857502}",30,0,-220.09199201436007,"{0: 17, 1: 0, 2: 8, 3: 2, 4: 3}",0
46,False,"{'a': 0.4, 'e': 0.9959527330119943}",20,0,-55.059140474261454,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
47,False,"{'a': 0.4, 'e': 0.9957709841286342}",20,0,-109.91134539636532,"{0: 8, 1: 7, 2: 2, 3: 3, 4: 0}",0
48,False,"{'a': 0.4, 'e': 0.9955852521626654}",25,0,-152.73647037719687,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
49,False,"{'a': 0.4, 'e': 0.9953955378570153}",25,0,-71.71309089102628,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
50,False,"{'a': 0.4, 'e': 0.995201841970541}",25,0,-149.04866385646906,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
51,False,"{'a': 0.4, 'e': 0.9950041652780257}",30,0,-78.39941175439239,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
52,False,"{'a': 0.4, 'e': 0.994802508570176}",35,10,-151.93061179395502,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",1
53,False,"{'a': 0.4, 'e': 0.9945968726536185}",25,0,-54.04765870092548,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
54,False,"{'a': 0.4, 'e': 0.9943872583508965}",25,0,-75.82402870609073,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.4, 'e': 0.9941736665004669}",30,0,-98.78977670276572,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.4, 'e': 0.9939560979566968}",25,0,-196.8396902671464,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
57,False,"{'a': 0.4, 'e': 0.9937345535898603}",20,0,-102.28031146185893,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.4, 'e': 0.9935090342861344}",25,0,-178.9653081206626,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
59,False,"{'a': 0.4, 'e': 0.9932795409475959}",20,0,-131.28285814235366,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
