trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",25,0,-188.91781923563465,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.96}",25,13,-43.572791791188585,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.94}",25,0,-174.19244419788714,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-136.41677643866484,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-56.858456258925855,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-132.76623325027597,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-56.13054256273463,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-123.38642104624299,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-141.64140245176333,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-99.18484909171583,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-71.17112434045384,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-57.032231244910776,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-63.738933984009236,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7199999999999998}",30,0,-159.8823657066527,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-220.15199857241387,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 5}",0
16,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-126.66657492772859,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.6599999999999997}",35,0,-221.62320840632776,"{0: 17, 1: 5, 2: 9, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-138.89406635470007,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,10,-48.94520864469954,"{0: 4, 1: 1, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-92.3631698198777,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-133.8798861175504,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-133.3264184967749,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-111.27133407578997,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-117.17336539779264,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-128.17031459595793,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-92.34036702892882,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-167.89128814491465,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",25,0,-182.5095586453616,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-161.1838471434425,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-33.5660179725507,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
